Title,Link,Description,Tags
Orientation Courses in Dramatics,https://www.myscheme.gov.in/schemes/ocd,"The ""Orientation Courses in Dramatics"" scheme by the Tiatr Academy of Goa aims to improve the quality of tiatr performances. It offers preliminary training and workshops in various aspects of dramatics, such as script writing and acting, to individuals and existing tiatr artistes.","Orientation, Education, Student, Workshop, Stage, Music"
Out of Turn Employment to Sportspersons in State Services,https://www.myscheme.gov.in/schemes/otejtpss,"The scheme aims to provide job opportunities to medal-winning sportspersons of Uttarakhand, who have represented the state in international and national games, by offering them out-of-turn employment in various state services.","Employment, Sports Quota Jobs, Athletes, Jobs, Sportspersons, Sports"
Padma Awards,https://www.myscheme.gov.in/schemes/pa,The scheme aims to recognize distinguished and exceptional achievements across various fields of public service and national importance.,"Award, Public Service, Art, Social Work, Civil Service"
Remembering Tiatr Artistes of Yesteryears - Organisation of Special Dedicated Programmes,https://www.myscheme.gov.in/schemes/rtay-osdp,The scheme aims to make younger generation aware of the contribution and sacrifices of great tiatr personalities of the past. It provides collaboration and financial assistance to produce special dedicated programmes on late artistes.,"Artist, Culture, Program, Show, Auditorium"
Retired Sportsperson Pension Scheme,https://www.myscheme.gov.in/schemes/rsps,"The scheme ""Retired Sportsperson Pension Scheme"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat aims to ensure financial security to retired state-level medal-winning sportspersons aged above 50 years through monthly pension assistance.","Sport, Retired Sportsperson, Pension, Athletes"
Rock Climbing Adventure Training Course,https://www.myscheme.gov.in/schemes/rcatc,"The scheme aims to promote physical fitness, adventure awareness, and confidence-building among children through a 6-day rock climbing adventure course for 100 children aged 9 to 12 years, organized at Mount Abu/ Junagadh Center.","Adventure Sports, Rock Climbing, Training, Scheduled Tribes, Outdoor Activities, Children Development"
Rural Sports and Health Promotion Scheme,https://www.myscheme.gov.in/schemes/rsahps,"The scheme promotes fitness among rural youth by providing financial assistance to the mangal dals for setting up open gyms in each Gram Panchayat. Financial assistance of ₹17,960/- is allocated per gram panchayat for installing open gym/community fitness equipment to encourage fitness & well-being.","Rural Sports, Health Promotion, Sports Promotion, Youth, Mangal Dal, Open Gym"
Production of Audio Albums of songs on Patriotism & National Integration,https://www.myscheme.gov.in/schemes/paaspni,The scheme aims to strengthen values of Patriotism & National Integration among Tiatr fraternity by promoting production of Konkani audio albums. It provides financial support for producing albums with at least 10 patriotic songs for distribution to educational institutions.,"Culture, Artist, Album, Song, Music"
Production of Tiatr in Villages/Urban Areas/Educational Institutions,https://www.myscheme.gov.in/schemes/ptvuaei,The scheme aims to explore and develop hidden singing and acting talents among youths in villages by promoting tiatr activities. It provides financial and technical support to produce tiatr in original format for local communities.,"Artist, Culture, Program, Village, Singing, Acting"
Promotion of Duets/Duos/Trios/Quartets/Quintets/Choral Songs,https://www.myscheme.gov.in/schemes/pddtqqcs,The scheme aims to preserve the traditional concept of singing of duets/duos/trios/quartets/quintets/choral songs which has been on the decline. It provides cash prizes and certificates to singers participating in various traditional singing categories.,"Singer, Competition, Artist, Culture, Music, Tradition"
Promotion of Acting in Tiatr for School Children,https://www.myscheme.gov.in/schemes/patsc,The scheme aims to encourage school children to improve their acting abilities in Goan tiatr through organized competitions. It provides cash prizes and certificates to winners in comedy and non-comedy acting categories.,"Acting, School, Children, Artist, Culture, Comedy"
Promotion of Konkani Songs with Choreography & Dancing,https://www.myscheme.gov.in/schemes/pkscd,"The scheme aims to promote Konkani songs by presenting them with choreography and dancing to attract youth towards Konkani cultural performances. It provides cash prizes, mementos, certificates and traveling allowances to participating groups in organized competitions.","Artist, Youth, Choreography, Dance, Culture, Competition"
Promotion of Literature on Art & Culture of Local Authors/ Organization,https://www.myscheme.gov.in/schemes/placlao,"The scheme ""Goa State Best Library and Best Librarian Award"" has been designed to encourage Goan writers to publish their literature on Art and Culture. The entire expenditure on printing and publishing the book is borne by Govt. by keeping the copyright of the publication.","Culture, Author, Book, Publisher, Literature"
Promotion of Tiatr Music,https://www.myscheme.gov.in/schemes/potm,"The scheme aims to encourage individuals to learn blowing instruments crucial for Tiatr music, such as Trumpet & Saxophone, addressing a decline in musicians. It provides financial assistance for tuition and instrument purchase, benefiting youth and other interested persons to preserve Tiatr music.","Music, Training, Subsidy, Artist, Culture"
Promotion of Patriotism/National Integration/Communal Harmony - Interschool Choreographic Dance Competition,https://www.myscheme.gov.in/schemes/ppnich-icdc,"The scheme aims to inculcate values of patriotism, national integration, and communal harmony in children through choreographic dance competitions. Educational institutions can participate with dance groups performing on Konkani patriotic songs to win monetary prizes and recognition.","School, Dance, Competition, Artist, Culture"
Promotion of Patriotism/National Integration/Communal Harmony - Production of Musical Programme or Tiatr,https://www.myscheme.gov.in/schemes/ppnich-pmpt,"The scheme aims to project patriotism, nationalism, and communal harmony through tiatrs, songs and music. It provides remuneration and venue cost coverage to individuals, organizations, educational institutions and clubs.","Song, Music, Program, Artist, Culture"
Promotion of Tiatr Related Activities,https://www.myscheme.gov.in/schemes/ptra,"The scheme aims to support institutions and individuals to organize tiatr-related cultural activities in Goa. It provides financial assistance for Konkani musical shows, competitions, and programs celebrating tiatr artists.","Culture, Artist, Music, Competition, Heritage"
