Title,Link,Description,Tags
Bharati Scheme for Education Professional Education Course - Chartered Accountancy Intern,https://www.myscheme.gov.in/schemes/bsepec-cai,"The ""Bharati Scheme for Education Professional Education Course - Chartered Accountancy Intern (IPCC)"" encourages Brahmin students of Andhra Pradesh to continue their education. Under this scheme, financial assistance for the academic year will be granted to eligible poor Brahmin students.","Financial Assistance, Student, Chartered Accountancy, Brahmin Community"
Bicycle Distribution Scheme for Girl Students of Economically Weaker Section,https://www.myscheme.gov.in/schemes/akvkckcvy,"Under this scheme, free bicycles will be distributed to 5,800 girl students belonging to the Economically Weaker Section (EWS), who are studying in government schools from Class 6 to Class 8, to facilitate their commute between home and school.","Girl Student, EWS, Bicycle"
"Assistance for Purchase of Educational Instruments for Medical, Engineering and Technical Diploma Courses",https://www.myscheme.gov.in/schemes/apeimetdc,"The scheme aims to provide annual financial assistance of ₹15,000, ₹10,000, and ₹5,000 for ST students in medical, engineering, and diploma courses, respectively.","Financial Assistance, Instruments, Student, Medical, Engineering, Diploma Courses"
Assistance for Purchasing Study Materials for Medical and Engineering Students from Socially and Educationally Backward Classes,https://www.myscheme.gov.in/schemes/iamessec,"The scheme aims to provide financial assistance to students from socially and educationally backward classes pursuing medical and engineering diploma or degree courses to support their education. Under this scheme, eligible students are provided a one-time grant for purchasing study materials.","Backward Classes, Financial Assistance, Student, Medical, Engineering"
Assistance to Law Graduates,https://www.myscheme.gov.in/schemes/atlg,"The ""Assistance to Law Graduates"" scheme was launched by the Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu. Under this scheme, financial assistance of ₹50,000 will be given to the differently abled Law graduates for enrolment in the Bar Council as lawyer.","Law Graduate, Financial Assistance, Differently-abled Person, Social Welfare"
Assistance to Lawyers for Starting their Practice,https://www.myscheme.gov.in/schemes/atlfstp,"This scheme provides financial assistance to unemployed Adi Dravidar and Tribal lawyers to help them start their legal practice, provided they have registered within the last five years and meet specific income criteria.","Tribal Welfare, Lawyers, Practice, Unemployment"
Assistance to Voluntary Organizations Working for Welfare of OBCs,https://www.myscheme.gov.in/schemes/avowwobc,"The ""Assistance to Voluntary Organizations Working for Welfare of OBCs"" scheme aims to involve the voluntary sector in improving the educational and socio-economic conditions of the target group i.e. OBCs to upgrade skills to enable them to start income-generating activities on their own.","Empowerment, Other Backward Class, NGO, Empolyment"
Aswachh Dhandha Chhaatravrtti,https://www.myscheme.gov.in/schemes/adc,"The objective of the scheme is to motivate students from marginalized sections of society, whose parents are involved in unclean & hazardous occupations, to pursue their education. Under the scheme, financial assistance of ₹1,850/- per annum is provided to students from Class 1 to Class 10.","Student, Scholarship, Scheduled Caste, Deprived Categories, Scavenger, Unclean Occupation, Unclean Occupation"
Atal Awasiya Vidyala Yojana,https://www.myscheme.gov.in/schemes/aavy,The Atal Awasiya Vidyalaya Yojana is an initiative launched by the Uttar Pradesh government to provide free education to children of construction workers employed in the informal sector.,"Free Education, Labor Community, Life Skill Education"
Attendance Scholarship Scheme for Girl Students with Disabilities of Rural Areas,https://www.myscheme.gov.in/schemes/assgsdra,The objective of this scheme is to uplift the status of the girls with disabilities in the rural areas & also to make them reliant by paying incentives in the form of Attendance Scholarship to these girls.,"Attendance, Scholarship, Girl Student, Disability, PwD, Rural Area"
Award For Meritorious Students Of Meghalaya In The HSSLC Examination (Science Stream),https://www.myscheme.gov.in/schemes/amsmhsslc,"The Directorate of Educational Research & Training Meghalaya, Shillong is implementing a scheme in providing a one-time award for meritorious tribal students of Meghalaya who passed the current HSSLC Examination (Science) every year.","Financial Assistance, Award, Tribal Students, Meghalaya"
Award Of Scholarships To Young Artists In Different Cultural Fields,https://www.myscheme.gov.in/schemes/asyadcf,"The scheme “Award of Scholarships to Young Artists in Different Cultural Fields” was launched by the Ministry of Culture, Government of India.","Scholarship, Young Artists, Culture, Advanced Training, Music, Dance"
"Award Scheme for Candidates Selected in NDA, IMA, OTA, INA, IAF",https://www.myscheme.gov.in/schemes/ascs,"Under this scheme, a one-time award of ₹50,000/- is given to each candidate from Uttarakhand who has been selected for service at premier defence academies such as the NDA, IMA, OTA, INA, and IAF.","Award, Financial Assistance, Armed Forces Examination, NDA, IAF, IMA, OTA, INA"
"Award for Success in State Public Service Commission, Union Public Service Commission Examination (MPBOCWWB)",https://www.myscheme.gov.in/schemes/afsispscupsce,"The State Public Service Commission and Union Public Service Commission Examination Success Award Scheme, 2012 provides an incentive to sons and daughters of registered construction workers, up to 45 years of age, selected in State or Union Public Service Commission exams.","Building, Construction, Education, Exam, Worker, Award"
Award of Attendance Scholarship to Girl Students in the Middle Stage of Education,https://www.myscheme.gov.in/schemes/aasgsmse,"""Award of Attendance Scholarship to Girl Students in the Middle Stage of Education"" was launched by the Directorate of School Education, UT of Puducherry aims to raise the enrolment of girls in schools in the age group of 11-14 years in the middle stage of education, and to avoid dropout.","Girl, Student, School, Scholarship, Education"
Award of Adhoc Merit Grant (Special Incentive) to Scheduled Caste Students,https://www.myscheme.gov.in/schemes/aamgsiscs,The scheme is implemented as a sort of encouragement for the Scheduled Caste students who secure 65% or above marks in matriculation/SSLC Board of Examinations.,"Merit Grant, Scheduled Caste, Student, Cash Award"
Award of Cash Incentive to the Toppers at Regional Level and Students Scoring Centum in the Subjects Involving Theory in Secondary School Leaving Certificate/Secondary School Certificate/Intermediate/Higher Secondary Public Examinations in Government Schools in the Union Territory of Puducherry,https://www.myscheme.gov.in/schemes/acitrlsscstsslcsscihspegsutp,The scheme aims to award cash incentives to encourage students in their education by recognizing top three regional rank holders and those scoring centum in theory subjects in Secondary School Leaving Certificate/Secondary School Certificate/Intermediate/Higher Secondary Exams in Govt. Schools.,"Student, Cash, Award, School, Education"
Award of Merit Scholarship for Agricultural Engineering Students (B.Tech 3rd/4th Year),https://www.myscheme.gov.in/schemes/awardscholashipagriuk,The scheme aims to support meritorious students pursuing B.Tech in Agricultural Engineering in their 3rd and 4th years by providing scholarship of ₹2000/- per month for one year.,"Agricultural Engineering, Scholarship, Student, Merit"
Award of Post-Matric Scholarship to Scheduled Caste Students,https://www.myscheme.gov.in/schemes/apmsscs,"The scheme “Award of Post-Matric Scholarship to Scheduled Caste Students” was introduced by the Adi Dravidar Welfare Dept, Government of Puducherry. The objective of the scheme is to benefit the students who are studying at the Post-matric level or Post-Secondary stage to complete their education.","Scholarship, Scheduled Caste, Student, Post Matric"
Award of Opportunity Cost to Parents of Scheduled Caste Girl Students,https://www.myscheme.gov.in/schemes/aocpscgs,The objective of the scheme is to financially assist the SC parents for sending school their daughters who otherwise earn livelihood for the family engaging themselves in menial labour.,"Opportunity Cost, Parents, Scheduled Cast, Girl, Student"
Award of Puducherry State Post-Matric Scholarship Scheme,https://www.myscheme.gov.in/schemes/apspmss,The scheme make sure that no brilliant student is prevented on the grounds of poverty alone from pursuing the academic career. Scholarship is awarded to students in 11th & 12th standards who have secured promotion to the next higher class with 60% & 50% marks in 10th & 11th standard respectively.,"Student, School, Education, Scholarship, DBT"
Award of Pre-matric Scholarship to the Students Whose Parents Are Engaged in Unclean Occupation,https://www.myscheme.gov.in/schemes/apmsspeuo,"""Award of Pre-matric Scholarship to the Students Whose Parents Are Engaged in Unclean Occupation” by the Adi Dravidar Welfare Dept, Govt of Puducherry, provides scholarships to the students whose parents are engaged in unclean occupations to improve the status of the unprivileged society.","Scholarship, Financial Assistance, Scavengers, Student"
