Title,Link,Description,Tags
West Bengal Transport Workers’ Social Security Scheme: Assistance for Purchase of Spectacles,https://www.myscheme.gov.in/schemes/wbtwsaps,"This scheme provides financial assistance to eligible beneficiaries every 5 years to support the purchase of spectacles, ensuring better eye health and vision.","Social Security, Transport Worker, Health & Wellness, Medical Appliance"
West Bengal Migrant Workers’ Welfare Scheme: Death Assistance,https://www.myscheme.gov.in/schemes/wbmwwsda,"""West Bengal Migrant Workers’ Welfare Scheme: Death Assistance"" is a social welfare scheme by the West Bengal Migrant Workers’ Welfare Board, Labour Dept., Government of West Bengal, that provides an one time assistance to the nominee in case of natural death/accidental death of the migrant worker.","Migrant, Social Welfare, Financial Assistance, Labour, Death, Accident, Worker"
West Bengal Transport Workers’ Social Security Scheme: Family Pension,https://www.myscheme.gov.in/schemes/wbtwssfp,"Under this scheme, beneficiaries, upon retirement or unfortunate demise, will have 50% of their last drawn amount transferred monthly to their families through a Direct Benefit Transfer (DBT) system.","Social Security, Transport Worker, Monthly Assistance, Family Pension"
West Bengal Transport Workers’ Social Security Scheme: Assistance for Marriage,https://www.myscheme.gov.in/schemes/wbtwsam,The scheme provides financial aid for the marriage of eligible beneficiaries or their dependent sons/daughters (up to two marriages).,"Social Security, Transport Worker, Marriage Assistance, Women"
West Bengal Transport Workers’ Social Security Scheme: Pension,https://www.myscheme.gov.in/schemes/wbtwssp,The scheme provides pension benefits to transport workers of the state upon reaching 60 years of age.,"Social Security, Transport Worker, Monthly Assistance, Pension"
West Bengal Migrant Workers’ Welfare Scheme: Repatriation of Dead Body,https://www.myscheme.gov.in/schemes/wbmwwsc,"""West Bengal Migrant Workers’ Welfare Scheme: Repatriation of Dead Body"" is a social welfare scheme implemented by the West Bengal Migrant Workers’ Welfare Board, that provides an one time assistance to the nominee for bringing the dead body of the registered migrant worker in case of death.","Cremation, Migrant, Social Welfare, Financial Assistance, Labour, Worker, Repatriation"
West Bengal Transport Workers’ Social Security Scheme: Funeral Expenses,https://www.myscheme.gov.in/schemes/wbtwsfe,The scheme provides monetary support to help cover funeral costs in the unfortunate event of a beneficiary's demise.,"Social Security, Transport Worker, Social Empowerment, Funeral Expenses"
Widow / Destitute Women Pension Scheme - Punjab,https://www.myscheme.gov.in/schemes/wdwps,Punjab State Government started a pension for widow and destitute women.,"Pension, Welfare, Financial Assistance"
Widow Pension (HBOCWWB),https://www.myscheme.gov.in/schemes/wphbocwwb,"Under this scheme, a monthly pension of ₹3,000/- is given to the widow of a registered construction worker who is not receiving a similar benefit from any other Government/ Department/ Board/ Corporation /PSU.","Widow, Pension, Construction Worker, Building Worker, Labour"
Widow Pension-West Bengal,https://www.myscheme.gov.in/schemes/wpwb,"The West Bengal government's Women and Child Development and Social Welfare Department launched the ""Widow Pension"" scheme in 2010. This program aims to support widows facing economic hardship within the state.","Financial Assistance, Social Welfare, Pension"
Widow Pension Scheme (HPBOCWWB),https://www.myscheme.gov.in/schemes/wpshpbocwwb,"The ""Widow Pension Scheme"" launched by HPBOCWWB is designed to support widows of registered beneficiaries. Through this initiative, the Board will disburse a monthly amount of ₹1,500/- to help widows manage their expenses and improve their quality of life.","Construction Workers, Building Worker, Women, Widow"
Widow Pension - Uttar Pradesh,https://www.myscheme.gov.in/schemes/wpup,Widow pension in Uttar Pradesh is a social welfare scheme by the Government of Uttar Pradesh to provide financial assistance to widows residing in the state. The scheme is administered by the Women Welfare Department of the state government.,"Social Welfare, Financial Assistance"
Widow Daughter Marriage Scheme,https://www.myscheme.gov.in/schemes/fawdsddaw,"Department of WCD, Delhi Government is implementing various Financial Assistance for the benefit of different sections through Financial Assistance Cell. Department of WCD is running Widow’s Daughter Marriage(WDM) for the benefit of widows/women in distress.","Marriage, Daughter, Poor Widow, Financial Assistance"
Widow/Abandoned/Single Woman Pension Scheme,https://www.myscheme.gov.in/schemes/wdenp,"Widow/Abandoned/Single Woman Pension Scheme of Himachal Pradesh Government aims to provide financial help to widows, abandoned women, and unmarried women shall be entitled to receive pension for a sum of Rs.1,150/-per month.","Widow Pension, Financial Assistance"
Widow Pension (CBOCWWB),https://www.myscheme.gov.in/schemes/wpcbocwwb,"Under this scheme, financial assistance in the form of a monthly pension shall be given to the widows of male registered construction workers of the Board.","Widow, Pension, Construction Worker, Labour"
Workers In Case Of Permanent Disablement-JKBOCWWB,https://www.myscheme.gov.in/schemes/wicopdjkbocwwb,"The ""Workers In Case of Partial Permanent Disablement"" scheme by the JKBOCW Welfare Board, Labour Department, Jammu & Kashmir, provides financial assistance to registered Building and Other Construction (BOC) workers in the case of permanent disablement.","Building Worker, Construction Workers, Labour, Permanent Disablement, Financial Assistance"
Yatra Pass in DTC non AC Buses for the Construction Workers,https://www.myscheme.gov.in/schemes/ypidnabftcw,"The ""Yatra Pass in DTC non AC Buses for the Construction Workers"" by the Delhi Building and Other Construction Workers Welfare Board, Labour Department, Delhi, is a welfare scheme that provides a pass of ₹ 2400/- per three months for non AC DTC bus to the registered workers for purchasing.","Yatra Pass, Labour, Construction Worker, Travel, Transport"
